Code table: s_26_weather_condition; Code source: WMO code 4501 (if <=0) or WMO code 4677 (if >0),
51,"Drizzle, not freezing, continuous-slight at time of observation"
52,"Drizzle, not freezing, intermittent-moderate at time of observation"
53,"Drizzle, not freezing, continuous-moderate at time of observation"
54,"Drizzle, not freezing, intermittent-heavy (dense) at time of observation"
55,"Drizzle, not freezing, continuous-heavy (dense) at time of observation"
56,"Drizzle, freezing, slight"
57,"Drizzle, freezing, moderate or heavy (dense)"
58,"Drizzle and rain, slight"
59,"Drizzle and rain, moderate or heavy"
60,"Rain, not freezing, intermittent-slight at time of observation"
61,"Rain, not freezing, continuous-slight at time of observation"
62,"Rain, not freezing, intermittent-moderate at time of observation"
63,"Rain, not freezing, continuous-moderate at time of observation"
64,"Rain, not freezing, intermittent-heavy at time of observation"
65,"Rain, not freezing, continuous-heavy at time of observation"
66,"Rain, freezing, slight"
67,"Rain, freezing, moderate or heavy"
68,"Rain or drizzle and snow, slight"
69,"Rain or drizzle and snow, moderate or heavy"
70,Intermittent fall of snow flakes-slight at time of observation
71,Continuous fall of snow flakes-slight at time of observation
72,Intermittent fall of snow flakes-moderate at time of observation
73,Continuous fall of snow flakes-moderate at time of observation
74,Intermittent fall of snow flakes-heavy at time of observation
75,Continuous fall of snow flakes-heavy at time of observation
76,Ice prisms (with or without fog)
77,Snow grains (with of without fog)
78,Isolated star like snow crystals (with or without fog)
79,"Ice pellets, type (a)"
80,"Rain shower(s), slight"
81,"Rain shower(s), moderate or heavy"
82,"Rain shower(s), violent"
83,"Shower(s) of rain and snow mixed, slight"
84,"Shower(s) of rain and snow mixed, moderate or heavy"
85,"Snow shower(s), slight"
86,"Show shower(s), moderate or heavy"
87,"Shower(s) of snow pellets or ice pellets, type(b), with or without rain and snow mixed-slight"
88,"Shower(s) of snow pellets or ice pellets, type(b), with or without rain or rain and snow mixed- moderate or heavy"
89,"Shower(s) of hail, with or without rain or rain and snow mixed, not associated with thunder-slight"
90,"Shower(s)of hail, with or without rain or rain and snow mixed, not associated with thunder-moderate or heavy"
91,Slight rain at time of observation-thunderstorm during the preceding hour but not at time of observation
92,Moderate or heavy rain at time of observation-thunderstorm during preceding hour. But not at time of observation
93,"Slight snow, or rain and snow mixed or hail at time of observation-thunder storm during the preceding hour but not at time of observation"
94,"Moderate or heavy snow, or rain and snow mixed or hail at time of observation-thunderstorm during the preceding hour but not at time of observation"
95,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation-thunderstorm at time of observation"
96,"Thunderstorm, slight or moderate, with hail at time of observation-thunderstorm at time of observation"
97,"Thunderstorm, heavy, without hail, but with rain and/or snow at time of observation-thunderstorm at time of observation"
98,Thunderstorm combined with dust storm or sandstorm at time of observation-thunderstorm at time of observation
99,"Thunderstorm, heavy, with hail at time of observation-thunderstorm at time of observation"
,
